Deutsch,English
Ich soll morgen den ganzen Tag arbeiten.,I'm supposed to work all day tomorrow.
Kann ich auf deine Loyalität zählen?,Can I count on your loyalty?
Sie essen gesundes Essen.,They eat healthy food.
"Er zählt Schafe, um besser einzuschlafen.",He counts sheep to sleep better.
Du wirst es nicht bereuen. Das verspreche ich!,You won't regret it. I promise!
Unser Land hat viele geschäftliche Beziehungen mit den Vereinigten Staaten.,Our country has many business relationships with the United States.
"Als ich jünger war, habe ich oft Basketball gespielt.","When I was younger, I often played basketball."
"Wir haben protestiert, aber es war alles umsonst.","We protested, but it was all for nothing."
Das könnte dich interessieren.,You might be interested in this.
Alles ist mit allem verbunden.,Everything is connected to everything.
Ich wollte dich nicht in das ganze verwicklen.,I didn't want to get you involved in all of that.
"Es gibt für alles ein Heilmittel, außer für den Tod.",There's a cure for everything except death.
Ich sterbe vor Durst. Gib mir etwas Wasser!,I'm dying of thirst. Give me some water!
"Ich nehme eine Vorspeise, eine Hauptspeise und einen Nachtisch auch.","I'll have an appetizer, a main course and a dessert too."
Ich werde ihn morgen danach fragen.,I'll ask him about it tomorrow.
"Ich gehe, wenn du so weitermachst.",I'll go if you keep this up.
Ich habe die Bettwäsche gewechselt.,I changed the sheets.
"Ich habe vergessen, eine Briefmarke auf den Umschlag zu kleben.",I forgot to put a stamp on the envelope.
Mein Vater und sein Freund rauchten eine Zigarre.,My father and his friend were smoking a cigar.
Der Blitz ist im Turm eingeschlagen.,Lightning struck in the tower.
"Sie hat bezeugt, den Mann in dieser Nacht gesehen zu haben.",She testified to seeing the man that night.
Worüber lachst du?,What are you laughing at?
Wie soll ich mich für diese Veranstaltung anziehen?,How should I dress for this event?
Ich war nach einem langen Spaziergang müde.,I was tired after a long walk.
Es gibt viele Lösungen für dieses Problem.,There are many solutions to this problem.
Es gibt dreißig Mitglieder in unserem Verein.,There are thirty members in our club.
"Sie hat mir gesagt, dass sie sich nicht wohl fühlte.",She told me that she didn't feel well.
"Du brauchst Disziplin, um deine Ziele zu erreichen.",You need discipline to achieve your goals.
Es gab hier während den Achtzigern einen Bürgerkrieg.,There was a civil war here during the eighties.
"Ich verstehe nicht, worüber du dich beschwerst.",I don't understand what you are complaining about.
Die Zeichnungen von meinem Sohn sind genial.,My son's drawings are brilliant.
"Ich möchte erreichen, einen Anteil von sieben Prozent Fett in meinem Körper zu haben.",I want to achieve having seven percent fat in my body.
Ich muss eine Banküberweisung machen.,I need to make a bank transfer.
Ruf die Feuerwehr. Schnell!,Call the fire department. Quick!
Wir gehen nach der Arbeit Tennis spielen.,We're going to play tennis after work.
Sie essen gesundes Essen.,You eat healthy food.
Diese Geschichte ist gleichzeitig lustig und tragisch.,This story is funny and tragic at the same time.
Ich habe diese Rede mit meinem Handy aufgenommen.,I recorded this speech with my cell phone.
"Das sind die Aufnahmen, die wir im Studio gemacht haben.",These are the recordings we made in the studio.
Im Moment gibt es nicht viel Verkehr.,Right now there is not much traffic.
Wir haben Helme getragen.,We were wearing helmets.
Wir wohnen hier seit Juli.,We have been living here since July.
Die Soldaten tragen die Gewehre auf ihren Schultern.,The soldiers carry the rifles on their shoulders.
Ich habe ihn danach nicht mehr gesehen.,I didn't see him after that.
Ich finde es faszinierend.,I find it fascinating.
Haben Sie ein spezielles Menü für Vegetarier?,Do you have a special menu for vegetarians?
Das Surfbrett passt nicht in mein Auto.,The surfboard won't fit in my car.
"Keiner wird merken, dass du es genommen hast.",No one will know you took it.
Ich bin schlauer als du.,I'm smarter than you.
Meine Nase blutet.,My nose is bleeding.
"Jedes Mal, wenn ich zum Zahnarzt gehe, habe ich Angst, meinen Mund zu öffnen.","Every time I go to the dentist, I'm afraid to open my mouth."
"Ist es legal, diese Mauer zu bauen?",Is it legal to build this wall?
Sie hat mich leicht geschubst.,She pushed me lightly.
Er lässt sich einen Bart wachsen.,He's growing a beard.
Die alten Ägypter haben eine sehr fortgeschrittene Zivilisation aufgebaut.,The ancient Egyptians built a very advanced civilization.
"Um ehrlich zu sein, war die Atmosphäre sehr angespannt.","To be honest, the atmosphere was very tense."
Sie haben unsere Warnung ignoriert.,They ignored our warning.
Er hat mich vor der Gefahr gerettet.,He saved me from danger.
Du hast einen Fleck auf deinem Hemd.,You have a stain on your shirt.
Lass uns einen Spaziergang machen.,Let's go for a walk.
Nicht alle Vögel bauen Nester.,Not all birds build nests.
Ich werde dir ein Geheimnis anvertrauen.,I'm going to tell you a secret.
Ich mag aggressive Sportarten wie Boxen und Hockey.,I like aggressive sports like boxing and field hockey.
Wie lange lässt du es in der Mikrowelle?,How long do you leave it in the microwave?
Schreibe deine Unterschrift auf die Linie.,Write your signature on the line.
"Lass uns vergessen, was heute passiert ist.",Let's forget about what happened today.
Welche Folge aus der zweiten Staffel magst du am liebsten?,Which episode from the second season do you like the most?
Sie kommen auch zur Party.,"You come to the party, too."
Unsere Wasserrohre sind explodiert.,Our water pipes exploded.
Du bist der Meister deines eigenen Schicksals.,You are the master of your own destiny.
Das Herz funktioniert genau wie eine Pumpe.,The heart works just like a pump.
Sie trägt nie Schminke.,She never wears makeup.
In welchem Ordner hast du die Datei gespeichert?,In which folder did you save the file?
Sie konnte ihre Emotionen nicht kontrollieren.,She couldn't control her emotions.
Die Elefanten werden wegen ihres Elfenbeins getötet.,Elephants are killed for their ivory.
"Denkst du ernsthaft darüber nach, ins Ausland zu ziehen?",Are you seriously thinking about moving abroad?
Ich trainiere für einen Marathon.,I'm training for a marathon.
Sie kann Poker spielen.,She can play poker.
Ich kann meine Vorfahren zweihundert Jahre zurückverfolgen.,I can trace my ancestors back two hundred years.
Du kannst diese Dateien löschen.,You can delete those files.
Hast du einen Föhn mitgebracht?,Did you bring a hair dryer?
"Ich habe versucht, einen Konflikt zu vermeiden.",I was trying to avoid a conflict.
Ist dieser hund ein Männchen oder ein Weibchen?,Is this dog a male or a female?
Der Gewinn unserer Firma ist um zwanzig Prozent gestiegen.,Our company's profits are up twenty percent.
Sie hat ein schlechtes Gehör.,She has bad hearing.
Wer wird der nächste Papst?,Who will be the next pope?
Die Sonne scheint sehr hell.,The sun is shining very brightly.
Das Schloss ist auf der anderen Seite des Flusses.,The castle is on the other side of the river.
"Du darfst es nicht anfassen, weil es sehr zerbrechlich ist.",You mustn't touch it because it's very fragile.
Ich habe das Geschirr in die Spüle gestellt.,I put the dishes in the sink.
Ich vertrete unsere Firma auf dieser Messe.,I am representing our company at this fair.
Arabisch schreibt sich von rechts nach links.,Arabic is written from right to left.
"Ich möchte ein Auto, das sowohl ökonomisch als auch leistungsfähig ist.",I want a car that is both economical and efficient.
Frankreich ist nach der Revolution zu einer Republik geworden.,France has become a republic after the revolution.
Bring mir bitte ein trockenes Handtuch.,"Bring me a dry towel, please."
Die Beerdigung findet diesen Sonntag statt.,The funeral is this Sunday.
Die Piraten sind bis zu den Zähnen bewaffnet.,The pirates are armed to the teeth.
"Sie hat ihm geholfen, seine Depression zu überwinden.",It helped him overcome his depression.
Die Mitglieder von diesem Volksstamm lebten entlang des Flusses.,The members of this tribe lived along the river.
Ich hatte leichtes Fieber und bin im Bett geblieben.,I had a slight fever and stayed in bed.
Sie hat nach dem Tod ihres ersten Ehemannes nochmal geheiratet.,She remarried after the death of her first husband.
Sie hat einen neuen Weltrekord im Hochsprung aufgestellt.,She set a new world record in high jump.
Sie checkt ständig sein Facebook Profil.,She keeps checking his Facebook profile.
Der Vostand hat das Budget für das nächste Jahr genehmigt.,The Vostand approved the budget for next year.
Auf dem Schild steht Kein Zutritt.,The sign says no entry.
Das ist eine optische Täuschung.,It's an optical illusion.
"Ich dachte, du schläfst.",I thought you were asleep.
Der Elefant wurde von einem Jäger getötet.,The elephant was killed by a hunter.
Der Protest am Montag war friedlich.,Monday's protest was peaceful.
Dieses Hotel wurde von einem russischen Architekten entworfen.,This hotel was designed by a Russian architect.
"Das ist die beste Methode, um dieses Problem zu lösen.",This is the best way to solve this problem.
Sie haben eine menschliche Kette gebildet.,They have formed a human chain.
Das ist das historische Zentrum der Stadt.,This is the historical center of the city.
Wir haben unseren Vertreter ausgewählt.,We have chosen our representative.
Sie sind keine Krimielle.,They are not criminals.
"Das ist meine Meinung, nicht ihre.","This is my opinion, not theirs."
"Es war nicht möglich, dieses alte Manuskript zu identifizieren.",It was not possible to identify this old manuscript.
Ich habe im Stau gesteckt.,I got stuck in traffic.
Unsere Absichten waren gut.,Our intentions were good.
Es ist ein idealer Zeitpunkt für ein Picknick.,It's an ideal time for a picnic.
Sie hat sich im Badezimmer eingesperrt.,She locked herself in the bathroom.
Auf dem Hügel ist ein Schloss.,There is a castle on the hill.
Das Schloss gehört der königlichen Familie.,The castle belongs to the royal family.
Ich habe mich aus dem Haus ausgesperrt.,I locked myself out of the house.
Sie hat zu ihrem Geburtstag einen Kuchen gebacken.,She baked a cake for her birthday.
Wer hat dieses Gemälde gemalt?,Who painted this painting?
Ich habe einen plötzlichen Schmerz in meiner Seite gespürt.,I felt a sudden pain in my side.
Ich möchte mein Versprechen an ihn nicht brechen.,I don't want to break my promise to him.
Sie konsumiert Heroin.,She uses heroin.
"Ich neige dazu, die Bilder anzusehen, bevor ich den Text lese.",I tend to look at the paintings before I read the text.
Ich bin nicht dein Diener.,I am not your servant.
Ich kann nicht singen. Andererseits bin ich in Sport gut.,"I can't sing. On the other hand, I am good at sports."
Wiederholung ist beim Erlernen einer Sprache notwendig.,Repetition is necessary when learning a language.
Zur Strafe musst du das Geschirr spülen.,"As punishment, you have to wash the dishes."
Er ist mein persönlicher Assistent.,He is my personal assistant.
"Es ist ein Wunder, dass du am Leben bist.",It's a miracle you're alive.
Wo ist es versteckt?,Where is it hidden?
Was ist der Mindestlohn in Griechenland?,What is the minimum wage in Greece?
Er verdiente sein Geld als Sänger.,He made his living as a singer.
Die Polizei hat dem Verdächtigen Handschellen anglegt.,The police handcuffed the suspect.
Diese Übung ist gut für die Muskeln.,This exercise is good for your muscles.
Füge eine Prise Salz hinzu.,Add a pinch of salt.
"Es ist seine Aufgabe, mit ausländischen Käufern zu verhandeln.",It's his job to negotiate with foreign buyers.
Sie kann nicht schwimmen und ich auch nicht.,She can't swim and neither can I.
Dieser Psychiater ist auf Kinderpsychiatrie spezialisiert.,This psychiatrist specializes in child psychiatry.
Er war der einzige Überlebende.,He was the only survivor.
Minerva war eine römische Göttin.,Minerva was a Roman goddess.
"Mir ist bewusst, dass es Risiken gibt.",I am aware that there are risks.
Der Unfall hat den Vekehr für mehr als zwei Stunden gesperrt.,The accident closed traffic for more than two hours.
Das geht völlig gegen meine Prinzipien.,It's completely against my principles.
Ich habe seine Nummer irgendwo aufgeschrieben.,I have his number written down somewhere.
Wie ist der Alltag im Irak?,What is everyday life like in Iraq?
Diese Art von Therapie ist nichts für mich.,This kind of therapy is not for me.
"Sie kann sich nicht daran erinnern, den Fernseher eingeschaltet zu haben.",She can't remember turning on the TV.
